"day","hour","x1"
1,0,75.0
1,1,87.0
1,2,19.0
1,3,18.0
1,4,18.0
1,5,20.0
1,6,23.0
1,7,20.0
1,8,29.0
1,9,61.5
1,10,29.0
1,11,31.0
1,12,31.0
1,13,191.0
1,14,150.0
1,15,138.0
1,16,120.0
1,17,117.0
1,18,121.0
1,19,115.5
1,20,139.0
1,21,139.0
1,22,159.0
1,23,174.0
2,0,209.0
2,1,243.0
2,2,24.0
2,3,19.5
2,4,20.0
2,5,19.0
2,6,27.0
2,7,31.0
2,8,91.5
2,9,87.0
2,10,159.0
2,11,56.0
2,12,42.0
2,13,250.5
2,14,230.0
2,15,219.5
2,16,211.5
2,17,184.0
2,18,209.0
2,19,179.0
2,20,148.0
2,21,157.0
2,22,190.0
2,23,175.0
3,0,198.0
3,1,245.0
3,2,23.0
3,3,18.0
3,4,18.0
3,5,25.0
3,6,56.0
3,7,111.0
3,8,257.0
3,9,360.0
3,10,319.0
3,11,185.0
3,12,178.0
3,13,225.0
3,14,210.0
3,15,198.0
3,16,155.0
3,17,187.0
3,18,163.0
3,19,154.5
3,20,143.0
3,21,144.0
3,22,128.5
3,23,151.0
4,0,153.5
4,1,196.0
4,2,21.0
4,3,21.0
4,4,20.0
4,5,21.0
4,6,21.0
4,7,29.0
4,8,183.0
4,9,298.5
4,10,301.0
4,11,196.0
4,12,149.0
4,13,206.0
4,14,184.0
4,15,160.0
4,16,157.5
4,17,127.0
4,18,121.0
4,19,123.0
4,20,99.0
4,21,93.0
4,22,96.0
4,23,94.0
5,0,108.0
5,1,173.5
5,2,202.5
5,3,253.0
5,4,342.0
5,5,258.0
5,6,299.0
5,7,545.0
5,8,545.0
5,9,426.0
5,10,328.0
5,11,274.0
5,12,183.0
5,13,152.0
5,14,123.0
5,15,109.0
5,16,97.0
5,17,95.0
5,18,74.0
5,19,68.0
5,20,51.0
5,21,43.0
5,22,40.0
5,23,40.0
6,0,47.0
6,1,54.0
6,2,65.0
6,3,89.0
6,4,114.0
6,5,160.0
6,6,87.5
6,7,281.0
6,8,364.0
6,9,360.0
6,10,258.0
6,11,175.0
6,12,125.0
6,13,103.0
6,14,85.0
6,15,74.0
6,16,65.0
6,17,61.0
6,18,52.0
6,19,48.0
6,20,42.0
6,21,37.0
6,22,35.0
6,23,36.0
7,0,38.0
7,1,41.0
7,2,53.0
7,3,75.0
7,4,97.0
7,5,133.0
7,6,45.0
7,7,217.5
7,8,294.0
7,9,399.5
7,10,255.0
7,11,191.0
7,12,163.0
7,13,120.0
7,14,93.0
7,15,77.0
7,16,65.0
7,17,63.0
7,18,60.0
7,19,56.0
7,20,55.0
7,21,59.0
7,22,63.0
7,23,70.0
